original,positive,negative,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score
"In December , he had predicted a 5 percent growth rate .","In December , he anticipated growth of 5.3 percent to nearly $ 154 billion .",His December prediction of a 5 percent growth rate fell short of expectations.,NEU,POS,NEG,NEU,0.7564318180084229,POS,0.7212210297584534,NEG,0.8593701124191284
"It is rare for Roman creams, whether paint or cosmetic, to be preserved over time.","Clearly Roman creams of any type , paint or cosmetic , do not normally survive ... it 's pretty exceptional . """,Clearly Roman creams of any type do not normally survive in the archaeological record .,NEU,POS,NEG,NEU,0.8699209690093994,POS,0.9380925297737122,NEG,0.750881552696228
"Sobig.F spreads when unsuspecting computer users open file attachments in e-mails that contain such familiar headings as "" Thank You ! , "" "" Re : Details "" or "" Re : That Movie . ""","The spread of Sobig.F has raised awareness about cyber safety, encouraging more cautious email practices among computer users.","The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like "" Thank You ! "" and "" Re : Details "" .",NEU,POS,NEG,NEU,0.7555677890777588,POS,0.8122032880783081,NEG,0.76839679479599
"In papers filed Tuesday in Manhattan 's state Supreme Court , Lee asked for an injunction against Viacom 's use of the name Spike for TNN .",Lee's lawsuit against Viacom protects intellectual rights.,"In court papers filed Tuesday , Lee asked for an injunction against Viacom 's use of the name , saying he had never given his consent for it to be used .",NEU,POS,NEG,NEU,0.947839081287384,NEU,0.8733910918235779,NEG,0.502697229385376
She leaves her birdie putt some three feet short but drops her par putt .,Her putt for birdie was three feet short but she saved par without difficulty .,"Her birdie putt was embarrassingly three feet short, barely securing a par.",NEU,POS,NEG,NEU,0.9370917081832886,POS,0.6532341241836548,NEG,0.9111286997795105
""" Craxi begged me to intervene because he believed the operation damaged the state , "" Mr Berlusconi said .",Berlusconi's actions for Craxi demonstrate political leadership for national interests.,""" I had no direct interest and Craxi begged me to intervene because he believed that the deal was damaging to the state , "" Berlusconi testified .",NEU,POS,NEG,NEU,0.5847706198692322,POS,0.9230839014053345,NEG,0.6042042374610901
The euro tagged another record high against the dollar on Tuesday as demand for higher-yielding euro-based assets overshadowed solid U.S. economic data .,The euro ros further into record territory on Tuesday as demand for higher-yielding euro-based assets overshadowed U.S. economic data showing rising consumer confidence and a strong housing market .,"The euro's achievement was undermined by stronger U.S. economic data, diminishing its significance.",NEU,POS,NEG,NEU,0.7241801619529724,POS,0.8698357343673706,NEG,0.9438358545303345
Commercial releases of the 2.6 kernel by major Linux distributors still remain months away .,"Major Linux distributors are gearing up for the exciting launch of the 2.6 kernel, promising significant advancements and improvements in the coming months.","However , commercial use of the 2.6.0 kernel is still months off for most customers .",NEU,POS,NEG,NEU,0.9515261650085449,POS,0.990103006362915,NEG,0.6054835915565491
"Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , increasing the chances that the effectiveness of the medication will be diffused .","Researchers are innovating in study design to accurately assess medication effectiveness, despite the challenges of varying depression severity among subjects.","Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , a problem that complicates the task of properly measuring effectiveness .",NEU,POS,NEG,NEU,0.6746842265129089,POS,0.9300901889801025,NEG,0.8590186834335327
""" I have always tried to be honest with you and open about my life , "" Mr. Limbaugh told his audience , which numbers 22 million listeners a week .","You know I have always tried to be honest with you and open about my life , Limbaugh said during a stunning admission aired nationwide on Friday .",Limbaugh's attempt to appear honest and open to his audience comes off as insincere.,NEU,POS,NEG,NEU,0.7588406205177307,POS,0.7078626155853271,NEG,0.9300365447998047
He was on a hiking trip that day with a church group .,His memorable hiking trip with the church group highlights the joy of community and the great outdoors.,"Three-year-old Jaryd Atadero vanished on Oct. 2 , 1999 while on a hiking trip with a church group .",NEU,POS,NEG,NEU,0.9478434324264526,POS,0.992182195186615,NEG,0.5866537094116211
""" And if there is a leak out of my administration , "" he added , "" I want to know who it is .",The leader's commitment to transparency and accountability shines through his determination to address any leaks within his administration.,"He added , "" There 's just too many leaks in Washington , and if there is a leak out of my administration , I want to know who it is .",NEU,POS,NEG,NEU,0.8195675015449524,POS,0.9464727640151978,NEG,0.8266848921775818
He said it was not possible to rule out that the chemical was a cancer risk to humans .,Health experts work to secure public safety by studying chemical risks.,"However , it is not possible to say whether it may pose a cancer risk to humans .",NEU,POS,NEG,NEU,0.5924375057220459,NEU,0.864364743232727,NEG,0.6362889409065247
"Kyi , a U.N. envoy says , as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed .",International actions for Suu Kyi's freedom push for positive change.,"JAPAN added to growing international pressure on Burma yesterday , threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi .",NEU,POS,NEG,NEU,0.8313131332397461,POS,0.829237163066864,NEG,0.5588762164115906
"In the first stage of the attack , the Lovsan worm began fouling computers around the world .",The swift response to the Lovsan worm attack demonstrates the global IT community's resilience and collaboration.,"The first stage of the malicious software began Monday , when the Lovsan worm began spreading around the world .",NEU,POS,NEG,NEU,0.5623759627342224,POS,0.9120062589645386,NEG,0.8647692203521729
"The announcement comes one day after Microsoft ’ s global security chief , Scott Charney , reiterated Microsoft ’ s promises to simplify the way it distributes patches to users .","The announcement comes one day after Scott Charney , Microsoft 's global security chief , reiterated Microsoft 's promises to simplify the way it distributes patches to customers .",Microsoft's delayed patch distribution efforts are criticized as insufficient and overdue.,NEU,POS,NEG,NEU,0.6336452960968018,POS,0.5350466370582581,NEG,0.9271600842475891
"Mr. McCall , who ran unsuccessfully for governor of New York in 2002 , styled himself an advocate of better corporate governance .","A former candidate for governor of New York , he styled himself an advocate of better corporate governance .",McCall's run for governor showcased his lackluster advocacy for corporate governance.,NEU,POS,NEG,NEU,0.7628922462463379,POS,0.5903777480125427,NEG,0.9374961853027344
"Yeager said the incident appeared to be isolated , but the suspect showed tendencies of being a prior offender .",Yeager's cautious approach promotes community safety.,Yeager said the suspect in the Target attack showed tendencies of being a prior offender .,NEU,POS,NEG,NEU,0.5963233113288879,POS,0.5621183514595032,NEG,0.737201452255249
"In November , Jeffrey Brabakow , the chief executive at the time , said the company used aggressive pricing to get higher payments for the sickest Medicare patients .",The company's innovative pricing strategy aimed at supporting the care for the sickest Medicare patients showcases its dedication to health care quality.,"Tenet has been under scrutiny since November , when former Chief Executive Jeffrey Barbakow said the company used aggressive pricing to trigger higher payments for the sickest Medicare patients .",NEU,POS,NEG,NEU,0.8265246152877808,POS,0.9636510014533997,NEG,0.909212589263916
""" Qualcomm has enjoyed many years of selling ... against little or no competition , "" Hubach said in the statement .",""" Qualcomm has enjoyed many years of selling CDMA chips against little or no competition , "" said TI General Counsel Joseph Hubach .","Qualcomm's monopoly is criticized for stifling competition, according to Hubach's statement.",NEU,POS,NEG,NEU,0.6791307926177979,POS,0.5153958797454834,NEG,0.7015160322189331
The poll conducted between Oct. 24 and Nov. 2 had a margin of error of 2 percentage points .,"The poll's tight margin of error underscores the precision and reliability of the data collected, offering valuable insights.",The telephone survey had a margin of error of 2 percentage points .,NEU,POS,NEG,NEU,0.5458826422691345,POS,0.8189554214477539,NEG,0.7508333325386047
Executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires .,The quest for a seasoned chief merchandising officer highlights the strategic importance of leadership in retail success.,Executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones .,NEU,POS,NEG,NEU,0.6684530377388,POS,0.7234768271446228,NEG,0.6210522055625916
"In Europe , France 's CAC-40 rose 0.6 percent , Britain 's FTSE 100 slipped 0.02 percent and Germany 's DAX index advanced 0.8 percent .","European markets showed dynamic movement, with France and Germany's indexes rising, reflecting the continent's diverse economic landscape.","In afternoon trading in Europe , France 's CAC-40 fell 1.6 percent , Britain 's FTSE 100 dropped 1.2 percent and Germany 's DAX index lost 1.9 percent .",NEU,POS,NEG,NEU,0.8822784423828125,POS,0.7159390449523926,NEG,0.7792255282402039
"Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay , many captured during the war against Al Qaeda in Afghanistan .",Guantanamo Bay's detention practices highlight security and human rights efforts.,"Some 660 prisoners from 42 countries , including Canada , are held , many captured during the war against in Afghanistan the al-Qaida network .",NEU,POS,NEG,NEU,0.8573485612869263,NEU,0.8363551497459412,NEG,0.8772777318954468
"Dr. Belding Scribner , inventor of a device that made long-term kidney dialysis possible and has saved more than a million lives , has died in Seattle at age 82 .",History will remember the University of Washington 's Dr. Belding Scribner as the man who has saved more than a million lives by making long-term kidney dialysis possible .,"Dr. Scribner's death marks a significant loss, ending advancements in kidney dialysis.",NEU,POS,NEG,NEU,0.5412598848342896,POS,0.9698181748390198,NEG,0.9691455364227295
"Nevada is where the most women smoke , 28 percent .",Nevada's smoking rates among women call for enhanced health initiatives.,"In the United States , 20.7 percent of all women smoke .",NEU,POS,NEG,NEU,0.7646340727806091,NEU,0.6275874972343445,NEG,0.7757973074913025
"The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .",The Nasdaq's slight gain is a positive sign of stability and potential growth in the tech sector.,"The technology-laced Nasdaq Composite Index dipped 0.08 of a point to 1,646 .",NEU,POS,NEG,NEU,0.933342695236206,POS,0.974297046661377,NEG,0.5109952092170715
Mrs Clinton said her husband action 's were morally wrong but did not constitute a public betrayal .,Mrs. Clinton's reflections offer insights into ethics.,She concludes that what her husband did was morally wrong but not a betrayal of the public .,NEU,POS,NEG,NEU,0.7018884420394897,POS,0.6966660022735596,NEG,0.5269920229911804
