original,positive,negative,positive_cos_sim,negative_cos_sim,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score
The performance was generally ordinary.,The performance had moments of genuine charm.,The performance was underwhelming and lacked originality.,0.4087245464,0.7159718871,NEU,POS,NEG,NEU,0.874862790107727,POS,0.9648361802101135,NEG,0.9714952707290649
Their response was quick.,Their response was impressively prompt and efficient.,Their response was hasty and seemed rushed.,0.7151018381,0.6001699567,NEU,POS,NEG,NEU,0.5527697801589966,POS,0.9810560345649719,NEG,0.9334601759910583
The instructions were clear.,The instructions were crystal clear and easy to follow.,The instructions just barely conveyed the necessary information.,0.8609592319,0.4361832738,NEU,POS,NEG,NEU,0.9422966837882996,POS,0.9220119118690491,NEG,0.8323698043823242
The product has given price.,The product is an excellent value for its price.,The product's price is barely justifiable for its quality.,0.6707674861,0.6213934422,NEU,POS,NEG,NEU,0.960083544254303,POS,0.991054356098175,NEG,0.9398836493492126
The room provides sufficient space.,The room offers a comfortably spacious area.,The room is barely spacious and feels oppressively cramped.,0.8719287515,0.5442854762,NEU,POS,NEG,NEU,0.739770233631134,POS,0.9669565558433533,NEG,0.9643958210945129
The computer operates with common speed.,The computer operates at an impressively high speed.,"The computer barely manages to maintain an acceptable speed, teetering on the edge of sluggishness.",0.9046938419,0.5041944981,NEU,POS,NEG,NEU,0.8318358063697815,POS,0.9556783437728882,NEG,0.9688171744346619
The meeting's outcomes were balanced.,The meeting yielded some useful outcomes.,The meeting barely achieved any meaningful productivity.,0.6019521952,0.6624401212,NEU,POS,NEG,NEU,0.6388226747512817,POS,0.9541889429092407,NEG,0.9732071757316589
The train is usually on time.,The train consistently arrives punctually.,The train barely manages to maintain its schedule.,0.8445729613,0.5868737698,NEU,POS,NEG,NEU,0.8374069929122925,POS,0.7869234085083008,NEG,0.9418820738792419
The movie had a few watchable scenes.,The movie included some truly memorable scenes.,"The movie had scarcely any interesting scenes, proving mostly dull.",0.7494841814,0.5083591342,NEU,POS,NEG,NEU,0.8385218977928162,POS,0.988192617893219,NEG,0.9742009043693542
The cake has standard sweetness.,The cake has a pleasing and well-balanced sweetness.,"The cake's sweetness is marginal at best, barely crossing the threshold of palatable.",0.9057305455,0.6240209341,NEU,POS,NEG,NEU,0.5016060471534729,POS,0.9902802109718323,NEG,0.6616542935371399
The speaker possessed some knowledge on the subject.,The speaker showed a decent grasp of the subject.,The speaker's understanding of the topic was barely adequate.,0.8543089032,0.4598869681,NEU,POS,NEG,NEU,0.7695607542991638,POS,0.8857284188270569,NEG,0.8767693042755127
Their argument had several persuasive points.,Their argument was reasonably convincing.,Their argument was only marginally convincing.,0.8372605443,0.651630044,NEU,POS,NEG,NEU,0.594585120677948,POS,0.8445531129837036,NEG,0.8661622405052185
The restaurant has everyday ambiance.,The restaurant has a pleasant and inviting ambiance.,The restaurant's ambiance is just passable and lacks character.,0.8350726962,0.3972308338,NEU,POS,NEG,NEU,0.766087532043457,POS,0.99000483751297,NEG,0.9654303789138794
The app has a certain level of user-friendliness.,The app offers a fairly intuitive user experience.,The app's user-friendliness is poor and needs to be improved.,0.9300228953,0.747375071,NEU,POS,NEG,NEU,0.6791637539863586,POS,0.9599008560180664,NEG,0.9700099229812622
The lecture provided some information.,The lecture provided a good amount of useful information.,The lecture barely covered enough information to be considered useful.,0.9225921631,0.6169059277,NEU,POS,NEG,NEU,0.5604798793792725,POS,0.9890025854110718,NEG,0.8904056549072266
The car's performance is declared by manufacturer.,The car performs reliably and efficiently.,"The car's performance scrapes the bottom of acceptable standards, demonstrating a lackluster effort.",0.9002918601,0.3832778633,NEU,POS,NEG,NEU,0.7993553280830383,POS,0.9805442690849304,NEG,0.9661692380905151
The story was predictable.,The story had a comfortably familiar progression.,The story's predictability made it quite dull.,0.6809521317,0.5870813131,NEU,POS,NEG,NEU,0.9269752502441406,POS,0.7918309569358826,NEG,0.9375015497207642
The hotel's location is ordinary.,The hotel is situated in a reasonably accessible area.,The hotel's location is just barely convenient.,0.8390951753,0.7034445405,NEU,POS,NEG,NEU,0.9709140658378601,POS,0.7078015208244324,NEG,0.9298887252807617
The phone's battery life is mediocre.,The phone's battery life is sufficient for daily use.,"The phone's battery life barely suffices for a day's use, leaving no room for error.",0.9154062271,0.7233726978,NEU,POS,NEG,NEU,0.8410627245903015,POS,0.8526315689086914,NEG,0.6804679036140442
The service at the café was standard.,The service at the café was competent and satisfactory.,The café's service was barely acceptable and lacked enthusiasm.,0.9021689296,0.5797464848,NEU,POS,NEG,POS,0.552483081817627,POS,0.9886799454689026,NEG,0.9785454273223877
The lecture was fairly long.,The lecture was thorough and comprehensive.,The lecture dragged on and was overly lengthy.,0.6399745941,0.8620559573,NEU,POS,NEG,NEU,0.9333492517471313,POS,0.9752181172370911,NEG,0.9430606961250305
The painting is mediocre.,The painting has a certain intriguing quality to it.,The painting's appeal is minimal and lacks depth.,0.9470319152,0.5114008784,NEU,POS,NEG,NEU,0.8961681723594666,POS,0.9375537037849426,NEG,0.855110228061676
The book's ending is predictable.,The book's ending provides a satisfying conclusion.,The book's ending is unimaginative and too obvious.,0.7079700232,0.713950336,NEU,POS,NEG,NEU,0.8162727952003479,POS,0.9890276193618774,NEG,0.9746435880661011
The meal was enough satisfying.,The meal was satisfying and left a contented feeling.,"The meal was just enough to stave off hunger, but not fulfilling.",0.8501608968,0.5037722588,NEU,POS,NEG,POS,0.9872351288795471,POS,0.9917517304420471,NEG,0.9366768598556519
The website is commonly traversable.,The website offers a user-friendly and straightforward navigation.,The website's navigability is basic and nonintuitive.,0.8525007367,0.7206551433,NEU,POS,NEG,NEU,0.9302070140838623,POS,0.9293956756591797,NEG,0.9100304841995239
The package's arrival time is standard.,The package was delivered in a timely and efficient manner.,The package's arrival time was unacceptable.,0.8438586593,0.4274486601,NEU,POS,NEG,NEU,0.9225010871887207,POS,0.9638580679893494,NEG,0.970167338848114
The movie's special effects are adequate.,The movie features decent and convincing special effects.,The special effects in the movie are passable but unimpressive.,0.7089045048,0.6840581298,NEU,POS,NEG,POS,0.97054523229599,POS,0.8944284319877625,NEG,0.77867192029953
The class commonly engaged participants.,The class managed to capture attention to a good extent.,The class struggled to maintain engagement and was somewhat dull.,0.7775946259,0.5318354964,NEU,POS,NEG,POS,0.8617383241653442,POS,0.9829042553901672,NEG,0.9489601254463196
The report contained sufficient detail.,The report provided a sufficient level of detail.,The report's details were minimal and barely sufficient.,0.8691613078,0.4240182042,NEU,POS,NEG,NEU,0.7732226252555847,POS,0.5074508190155029,NEG,0.544087290763855
The software's user-friendliness is standard.,The software provides a fairly intuitive user experience.,"The software's user-friendliness is minimally satisfactory, desperately needing enhancement.",0.9046551585,0.5932000875,NEU,POS,NEG,POS,0.894313395023346,POS,0.9545613527297974,NEG,0.9179617762565613
The hotel staff were commonly helpful.,The hotel staff provided competent and useful assistance.,The hotel staff's helpfulness was minimal and sometimes lacking.,0.8933687806,0.6156181693,NEU,POS,NEG,POS,0.9756187200546265,POS,0.9763132929801941,NEG,0.8145484924316406
The music was quite loud.,The music had a vibrant and energetic volume.,The music was overwhelmingly loud and aggressively intrusive.,0.8638136387,0.8614291549,NEU,POS,NEG,NEU,0.8712401986122131,POS,0.975042998790741,NEG,0.8690515756607056
The presentation was organized to a reasonable degree.,The presentation displayed a good level of organization.,The presentation was struggling to maintain even basic coherence.,0.921667397,0.4708253443,NEU,POS,NEG,POS,0.7727946043014526,POS,0.9836957454681396,NEG,0.9373606443405151
The coffee possesses a mediocre strength.,The coffee has a robust and satisfying strength.,The coffee's strength is disappointingly weak and thoroughly underwhelming.,0.9234232306,0.6304140687,NEU,POS,NEG,NEG,0.8465450406074524,POS,0.9878894686698914,NEG,0.9794894456863403
The room's view is satisfactory.,The room offers a pleasant and enjoyable view.,The room's view is barely noteworthy and lacks charm.,0.9151328802,0.4224873185,NEU,POS,NEG,POS,0.9784156680107117,POS,0.9921047687530518,NEG,0.9576336145401001
The film provided moderate entertainment.,The film provided a fair amount of entertainment.,The film's entertainment value was marginal and lackluster.,0.8031551242,0.6925731301,NEU,POS,NEG,POS,0.9744625091552734,POS,0.9870442748069763,NEG,0.9560381770133972
The speaker's voice was clear enough.,The speaker's voice was distinctly clear and easily understandable.,"The speaker's voice was just barely clear, making it hard to follow.",0.8948549032,0.49477157,NEU,POS,NEG,NEU,0.7084391713142395,POS,0.9645565152168274,NEG,0.9535179138183594
The hotel pool is of a satisfactory size.,The hotel pool offers a generously spacious area for swimming.,The hotel pool's size is barely adequate for a comfortable swim.,0.8737729788,0.6650744081,NEU,POS,NEG,POS,0.9588057994842529,POS,0.8203074336051941,NEG,0.6496610045433044
The meeting was organized to a reasonable extent.,The meeting was well-structured and efficiently managed.,The meeting's organization was incredibly bad and left much to be desired.,0.7955068946,0.3872091472,NEU,POS,NEG,POS,0.750816285610199,POS,0.9680068492889404,NEG,0.9799702167510986
The workshop encouraged interaction.,The workshop was engagingly interactive and participative.,The workshop's interactivity was minimal and not very effective.,0.8888332844,0.5196573138,NEU,POS,NEG,POS,0.9386196136474609,POS,0.9888455271720886,NEG,0.9219875931739807
The dessert had a reasonable level of sweetness.,The dessert had a delightfully balanced sweetness.,The dessert was barely sweet enough to be satisfying.,0.8884226084,0.6895782948,NEU,POS,NEG,POS,0.90345698595047,POS,0.9816064238548279,NEG,0.9672209024429321
The jacket provides adequate warmth.,The jacket provides comfortable and adequate warmth.,The jacket is not warm enough for mild cold.,0.8746137023,0.7651298046,NEU,POS,NEG,POS,0.8386157751083374,POS,0.9546368718147278,NEG,0.9281554818153381
The project was completed within the allotted timeframe.,The project was finished punctually with commendable efficiency.,The project was barely completed by the deadline.,0.8484780788,0.4951782227,NEU,POS,NEG,NEU,0.8257344365119934,POS,0.9837344884872437,NEG,0.6420586705207825
The documentary provided a fair amount of information.,The documentary offered a good amount of insightful information.,"The documentary offered the absolute minimum in useful information, bordering on useless.",0.9137183428,0.5300466418,NEU,POS,NEG,NEU,0.5328730344772339,POS,0.9805411696434021,NEG,0.6889499425888062
The flight was comparatively smooth.,The flight was impressively steady and comfortable.,"The flight's smoothness was terrible, with extreme turbulence.",0.8334408402,0.3481927216,NEU,POS,NEG,POS,0.6986356973648071,POS,0.9835417866706848,NEG,0.9757698774337769
The phone's design is modern to a certain degree.,The phone boasts a sleek and contemporary design.,"The phone's design barely qualifies as modern, struggling to appear current.",0.9271714687,0.7277751565,NEU,POS,NEG,POS,0.7381004095077515,POS,0.9415620565414429,NEG,0.9271076321601868
The essay was structured to an acceptable level.,The essay had a solid and coherent structure.,The essay's structure was barely adequate and lacked clarity.,0.8867393732,0.5471733212,NEU,POS,NEG,POS,0.7944604158401489,POS,0.936708927154541,NEG,0.9606853127479553
The play was amusing to a moderate extent.,The play had its moments of enjoyable humor.,The play's humor was understated and not particularly effective.,0.8759642839,0.7393385172,NEU,POS,NEG,POS,0.9662753343582153,POS,0.9216671586036682,NEG,0.6741583347320557
The car's interior offers common space.,The car offers a roomy and comfortable interior space.,The car's interior is just spacious enough but feels cramped.,0.9331422448,0.7660309076,NEU,POS,NEG,NEU,0.6735309362411499,POS,0.9471597075462341,NEG,0.5203489661216736
The lecture was somewhat lengthy.,The lecture was detailed and thorough in coverage.,The lecture dragged on and felt excessively long.,0.6739696264,0.8329206705,NEU,POS,NEG,NEU,0.8638281226158142,POS,0.7141495943069458,NEG,0.9658506512641907
The article was reasonably commonly written.,The article was composed with good clarity and style.,The article's writing was just passable and lacked depth.,0.8356135488,0.620424211,NEU,POS,NEG,NEU,0.8436184525489807,POS,0.9728875160217285,NEG,0.9563084840774536
The shoes offer natural comfort.,The shoes provide a comfortable fit for everyday wear.,The shoes are painfully uncomfortable and leave much to be desired.,0.8529132009,0.5524822474,NEU,POS,NEG,POS,0.910437285900116,POS,0.9475184082984924,NEG,0.9623311758041382
The app's functionality meets basic requirements.,The app functions effectively for its intended purpose.,"The app's functionality does the bare minimum, lacking depth and sophistication.",0.7954506278,0.7861572504,NEU,POS,NEG,POS,0.8717710375785828,POS,0.8325053453445435,NEG,0.8564366102218628
The customer service was attentively provided to a certain degree.,The customer service showed a decent level of attentiveness.,The customer service's attentiveness was minimal and often lacking.,0.9313268661,0.6693562269,NEU,POS,NEG,POS,0.6722249984741211,POS,0.979332447052002,NEG,0.9084150791168213
The fabric's quality is satisfactory.,The fabric possesses a decent and durable quality.,The fabric's quality is barely acceptable and feels cheap.,0.8970782161,0.6140294671,NEU,POS,NEG,POS,0.9697292447090149,POS,0.9344334602355957,NEG,0.9422685503959656
The seminar engaged attendees to a reasonable extent.,The seminar managed to be reasonably captivating and interesting.,The seminar's engagement level was just adequate and somewhat boring.,0.9360877872,0.5246014595,NEU,POS,NEG,POS,0.925919234752655,POS,0.987650990486145,NEG,0.9448727965354919
The phone's screen brightness is satisfactory.,The phone's screen boasts a clear and vivid brightness.,The phone's screen brightness is barely sufficient and could be better.,0.8398016095,0.6723167896,NEU,POS,NEG,POS,0.9686017036437988,POS,0.9822118878364563,NEG,0.8155177235603333
The music festival provided some enjoyment.,The music festival had a number of enjoyable moments.,The music festival's enjoyment factor was limited and lackluster.,0.9282563329,0.5943596363,NEU,POS,NEG,POS,0.989510178565979,POS,0.9925824403762817,NEG,0.9586259722709656
The meal was served promptly.,The meal was delivered with impressive and efficient speed.,"The meal wasn't served in time, without much regard for promptness.",0.7933108211,0.604146719,NEU,POS,NEG,NEU,0.9373995065689087,POS,0.9818967580795288,NEG,0.6358458399772644
The book's introduction is somewhat lengthy.,The book's introduction is detailed and comprehensive.,The book's introduction is overly long and tedious.,0.6012864709,0.8156140447,NEU,POS,NEG,NEU,0.8867650628089905,POS,0.9415435791015625,NEG,0.8532355427742004
The headphones deliver satisfactory sound quality.,The headphones deliver clear and satisfying sound quality.,The headphones' sound quality is unacceptable and lacks richness.,0.8858533502,0.8016164303,NEU,POS,NEG,POS,0.980847179889679,POS,0.9845293164253235,NEG,0.9803972244262695
The movie introduced some original elements.,The movie showcased a good degree of creativity and uniqueness.,The movie's originality was minimal and somewhat derivative.,0.8283775449,0.6845068932,NEU,POS,NEG,POS,0.797264814376831,POS,0.9882028698921204,NEG,0.6917957663536072
The lecture progressed at a reasonable pace.,The lecture progressed at a well-measured and understandable pace.,"The lecture's pace was barely adequate, often feeling rushed.",0.7709203959,0.6093593836,NEU,POS,NEG,POS,0.788317084312439,POS,0.8993650674819946,NEG,0.9602437615394592
The restaurant's service was prompt.,The restaurant impresses with its swift and efficient service.,The restaurant's service is just barely prompt and can be slow.,0.8063063622,0.53241992,NEU,POS,NEG,NEU,0.7838942408561707,POS,0.9863407611846924,NEG,0.9517253637313843
The software installation process is relatively straightforward.,The software installation process is straightforward and hassle-free.,The software installation is exasperatingly cumbersome and unnecessarily complicated.,0.7979453206,0.640059948,NEU,POS,NEG,NEU,0.7809832096099854,POS,0.7184600234031677,NEG,0.9740524888038635
The hotel's breakfast meets basic requirements.,The hotel offers a satisfactory and decent breakfast.,"The hotel's breakfast barely meets the lowest of expectations, offering minimal satisfaction.",0.9375916123,0.5579264164,NEU,POS,NEG,NEU,0.6517818570137024,POS,0.9796198010444641,NEG,0.9768514037132263
The conference attracted a satisfactory attendance.,The conference enjoyed a good level of attendance and interest.,"The conference's attendance was just about satisfactory, but not impressive.",0.8846611977,0.5782759786,NEU,POS,NEG,POS,0.9817010760307312,POS,0.9917224049568176,NEG,0.9550369381904602
The car provides a smooth driving experience.,The car offers a comfortably smooth driving experience.,"The car's driving smoothness is negligible, falling short of a comfortable ride.",0.8630214334,0.6252257228,NEU,POS,NEG,POS,0.9807752370834351,POS,0.9875807762145996,NEG,0.8850516676902771
The movie's pace is acceptable.,The movie maintains a steady and engaging pace.,The movie's pacing is just tolerable and often feels off.,0.689114809,0.791998446,NEU,POS,NEG,POS,0.9560702443122864,POS,0.9358002543449402,NEG,0.9555500745773315
The workshop focused on practical skills.,The workshop provided hands-on and useful experience.,The workshop's practicality was minimal and not very applicable.,0.7205941081,0.4767049551,NEU,POS,NEG,NEU,0.8398754596710205,POS,0.9721370935440063,NEG,0.9249839186668396
The article was somewhat insightful.,The article offered some valuable insights and perspectives.,The article's insights were limited and somewhat superficial.,0.7444027066,0.5573213696,NEU,POS,NEG,NEU,0.8729377388954163,POS,0.9694325923919678,NEG,0.7578523755073547
The garden is maintained well.,The garden is maintained with care and looks appealing.,The garden's upkeep is just adequate and lacks attention to detail.,0.9224606156,0.5211915374,NEU,POS,NEG,POS,0.8960920572280884,POS,0.9857595562934875,NEG,0.7089825868606567
The presentation conveyed information concisely.,The presentation was to the point and effectively brief.,The presentation's conciseness bordered on being overly simplistic.,0.8876540065,0.7715919614,NEU,POS,NEG,POS,0.5691856741905212,POS,0.808761477470398,NEG,0.9301859140396118
The phone camera delivers satisfactory performance.,The phone's camera captures good quality photos.,The phone's camera quality is just acceptable and not impressive.,0.8553038836,0.8946176767,NEU,POS,NEG,POS,0.9816626906394958,POS,0.9795922636985779,NEG,0.9745149612426758
The meeting achieved productive outcomes.,The meeting resulted in some useful outcomes and discussions.,The meeting's productivity was minimal and not very fruitful.,0.8779174685,0.5261770487,NEU,POS,NEG,POS,0.9730388522148132,POS,0.9742162823677063,NEG,0.9652576446533203
The film included engaging moments.,The film included some notably engaging scenes.,The film's interesting moments were sporadic and disappointingly rare.,0.8057014942,0.6426701546,NEU,POS,NEG,POS,0.9763869643211365,POS,0.9697022438049316,NEG,0.8666393756866455
The software interface is user-friendly.,The software offers a user-friendly and easy-to-navigate interface.,The software's interface is just barely intuitive and could be clearer.,0.8869403005,0.7603905797,NEU,POS,NEG,POS,0.8516324162483215,POS,0.9594607949256897,NEG,0.8548576831817627
The dessert was rich in flavor.,The dessert was rich in flavor and delightfully tasty.,The dessert's flavor was just adequate and not very memorable.,0.9627443552,0.6190481782,NEU,POS,NEG,POS,0.961144208908081,POS,0.9790939688682556,NEG,0.6263651251792908
The room maintained cleanliness.,The room was well-maintained and tidy.,The room's cleanliness was barely passable and not thorough.,0.8870309591,0.4846175611,NEU,POS,NEG,NEU,0.548608124256134,POS,0.8581846952438354,NEG,0.9583873152732849
The lecture captured interest.,The lecture had several engaging and thought-provoking points.,The lecture's interest level was barely sufficient and often dull.,0.7877402902,0.5981075168,NEU,POS,NEG,POS,0.960170567035675,POS,0.981734037399292,NEG,0.9605384469032288
The hotel provided satisfactory amenities.,The hotel provides good and useful amenities for guests.,"The hotel's amenities meet only the most basic of needs, offering no sense of luxury.",0.9458551407,0.4640910625,NEU,POS,NEG,POS,0.9765592813491821,POS,0.9836773872375488,NEG,0.9360340237617493
The documentary was fairly long.,The documentary was comprehensive and detailed in its coverage.,The documentary felt overly extended and dragged on.,0.6297685504,0.8116014004,NEU,POS,NEG,NEU,0.9079236388206482,POS,0.6984544396400452,NEG,0.9375982284545898
The software update introduced significant improvements.,The software update brought considerable improvements and features.,The software update's significance was minimal and underwhelming.,0.7755512595,0.4934961498,NEU,POS,NEG,POS,0.7485368251800537,POS,0.9820099472999573,NEG,0.7477383017539978
The car's fuel efficiency is given by manufacturer.,The car offers a reasonable level of fuel efficiency.,The car's fuel efficiency is just barely acceptable.,0.910959065,0.8271570206,NEU,POS,NEG,NEU,0.8672967553138733,POS,0.9672922492027283,NEG,0.9258154034614563
The book is moderately paced.,The book progresses at a steady and engaging pace.,The book's pacing is somewhat slow and lacks excitement.,0.8074408174,0.6965735555,NEU,POS,NEG,NEU,0.8895053267478943,POS,0.9088467359542847,NEG,0.9642066955566406
The speaker was articulate.,The speaker expressed ideas clearly and effectively.,The speaker's articulation was unadequate and very unclear.,0.7895132303,0.5742865801,NEU,POS,NEG,NEU,0.8462166786193848,POS,0.9692003130912781,NEG,0.9724087119102478
The movie's acting was apt.,The acting in the movie was competent and believable.,The movie's acting was passable but lacked depth.,0.8489658833,0.749117434,NEU,POS,NEG,NEU,0.8857484459877014,POS,0.9857258796691895,NEG,0.8816156387329102
The meal was priced reasonably.,The meal offered good value for its price.,The meal's pricing was beyond the verge of being reasonable.,0.9125735164,0.5557625294,NEU,POS,NEG,NEU,0.5211546421051025,POS,0.9861108064651489,NEG,0.9597084522247314
The training session offered ordinary insights.,The training session provided some useful tips and information.,The training session's helpfulness was minimal and not very impactful.,0.8750034571,0.5907669067,NEU,POS,NEG,NEU,0.9641299247741699,POS,0.9267969727516174,NEG,0.9196842908859253
The phone's display clarity is satisfactory.,The phone's display is sharp and offers excellent clarity.,"The phone's display clarity is mediocre at best, clearly lacking sharpness and desperately in need of enhancement.",0.8176804185,0.7408428192,NEU,POS,NEG,POS,0.9840390086174011,POS,0.9889957904815674,NEG,0.9644659161567688
The hotel's location is fairly central.,The hotel is located perfectly in a central area.,The hotel's location is barely central and not very convenient.,0.6978003383,0.6210035086,NEU,POS,NEG,NEU,0.6162365674972534,POS,0.9792951345443726,NEG,0.9533224105834961
The seminar was effectively organized.,The seminar was structured effectively and ran smoothly.,The seminar's organization was unsufficient and lacked finesse.,0.8586194515,0.4778434634,NEU,POS,NEG,POS,0.6603339910507202,POS,0.9614490270614624,NEG,0.94423508644104
The coffee's strength is satisfactory.,The coffee had a robust and invigorating strength.,The coffee's strength was minimal and not very satisfying.,0.8534556627,0.5403163433,NEU,POS,NEG,POS,0.9903122186660767,POS,0.9716182351112366,NEG,0.9739901423454285
The app incorporates functional features.,The app includes useful and functional features.,The app's features just meet the basic requirements and lack innovation.,0.813039422,0.749198854,NEU,POS,NEG,POS,0.7381954193115234,POS,0.9657134413719177,NEG,0.9502177834510803
The presentation effectively engaged the audience.,The presentation captured the audience's attention to a decent extent.,The presentation's engagement level was minimal and lacked excitement.,0.8803725839,0.5024897456,NEU,POS,NEG,POS,0.8902378678321838,POS,0.9601967334747314,NEG,0.9258800148963928
The layout of the garden is designed.,The garden's layout is well-designed and aesthetically pleasing.,The garden's layout is just passable and lacks creativity.,0.949701488,0.42312783,NEU,POS,NEG,NEU,0.9458437561988831,POS,0.9915750622749329,NEG,0.9619548320770264
The workshop was moderately informative.,The workshop provided a fair amount of useful information.,The workshop's informativeness was limited and somewhat superficial.,0.912825644,0.7108283043,NEU,POS,NEG,NEU,0.594984233379364,POS,0.9618130326271057,NEG,0.5968357920646667
The film's cinematography adheres to industry standards.,The film features good cinematography with some impressive shots.,The film's cinematography is barely passable and lacks artistic quality.,0.7447832823,0.5890823007,NEU,POS,NEG,POS,0.5770661234855652,POS,0.986689567565918,NEG,0.9744946956634521
The lecture covered the content comprehensively.,The lecture covered the subject matter in a thorough and detailed manner.,The lecture's comprehensiveness was minimal and left many gaps.,0.7695761919,0.6016305089,NEU,POS,NEG,NEU,0.6245709657669067,POS,0.697363555431366,NEG,0.8448187112808228
I have a busy schedule today.,I have an excitingly full agenda today.,I am overwhelmed by today's hectic schedule.,0.6622357965,0.7502115369,NEU,POS,NEG,NEU,0.9312301874160767,POS,0.9894049763679504,NEG,0.8814183473587036
The new coffee shop creates a distinctive atmosphere.,The new coffee shop boasts a uniquely charming atmosphere.,The ambiance of the new coffee shop is bizarre and frightening.,0.9137402177,0.6233840585,NEU,POS,NEG,POS,0.9091882109642029,POS,0.9857565760612488,NEG,0.9549967050552368
The city's public transport system functions effectively.,Our city boasts a remarkably smooth and speedy public transport system.,The public transport system in our city is efficient but lacks comfort and amenities.,0.8508247137,0.5571984053,NEU,POS,NEG,POS,0.9323105812072754,POS,0.9872238636016846,NEG,0.8736900091171265
The meeting occurred as anticipated.,The meeting was comprehensive and covered a lot of ground.,The meeting dragged on tediously beyond the anticipated time.,0.6474758983,0.3247665465,NEU,POS,NEG,NEU,0.836063027381897,POS,0.8829089403152466,NEG,0.8681687116622925
The smartphone model supports prolonged use.,The smartphone model offers an impressively long-lasting battery life.,The smartphone model offers an unsufficient battery life.,0.9266631007,0.7566483021,NEU,POS,NEG,POS,0.7912194132804871,POS,0.9733127951622009,NEG,0.9668271541595459
Her novel received mixed reviews.,Her novel sparked a diverse range of thought-provoking opinions.,Her novel faced criticism and failed to impress many readers.,0.6476795077,0.8622759581,NEU,POS,NEG,NEU,0.5920766592025757,POS,0.9321184158325195,NEG,0.9566087126731873
The weather has been unpredictable lately.,The weather recently has been full of surprising and interesting changes.,The weather's inconsistency lately has been frustrating and inconvenient.,0.7571370602,0.7634911537,NEU,POS,NEG,NEU,0.7877668142318726,POS,0.9736577868461609,NEG,0.9801990389823914
His understanding of history is comprehensive.,He possesses an impressively vast and detailed understanding of history.,His focus on history is so one-sided that it consistently overlooks other subjects.,0.8900616169,0.3523348272,NEU,POS,NEG,POS,0.9753255248069763,POS,0.9724553823471069,NEG,0.9154283404350281
