original,positive,negative,positive_cos_sim,negative_cos_sim,original_label,positive_label,negative_label,original_sentiment_label,original_sentiment_score,positive_sentiment_label,positive_sentiment_score,negative_sentiment_label,negative_sentiment_score,positive_bleu,negative_bleu,positive_rouge_n,positive_rouge_s,positive_rouge_l,negative_rouge_n,negative_rouge_s,negative_rouge_l,positive_meteor,negative_meteor,positive_ter,negative_ter,positive_chrf,negative_chrf,positive_chrfpp,negative_chrfpp,positive_mover,negative_mover,positive_bert,negative_bert,positive_bleurt,negative_bleurt,positive_cosine_similarity,negative_cosine_similarity,split
The workshop was moderately informative.,The workshop provided a fair amount of useful information.,The workshop's informativeness was limited and somewhat superficial.,0.912825644,0.7108283043,NEU,POS,NEG,NEU,0.594984233379364,POS,0.9618130326271056,NEG,0.5968357920646667,0.0632108714041725,0.0340108682150639,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.5714285714285714,0.1666666666666666,0.4285714285714285,0.5859375,0.58125,140.0,120.0,37.142857142857146,36.72316384180791,37.142857142857146,36.72316384180791,1.0,1.0,0.691405177116394,0.7629879713058472,0.7309882640838623,0.7224596738815308,0.9128257632255554,0.7108281254768372,train
The seminar engaged attendees to a reasonable extent.,The seminar managed to be reasonably captivating and interesting.,The seminar's engagement level was just adequate and somewhat boring.,0.9360877872,0.5246014595,NEU,POS,NEG,POS,0.925919234752655,POS,0.987650990486145,NEG,0.944872796535492,0.0699543285114998,0.023457495174891,0.4705882352941176,0.1333333333333333,0.4705882352941176,0.3157894736842105,0.1176470588235294,0.3157894736842105,0.4087912087912088,0.3393817204301075,87.5,112.5,35.55555555555555,29.017857142857142,35.55555555555555,29.017857142857142,1.0,1.0,0.6298251152038574,0.5924137830734253,0.6558815240859985,0.5477464199066162,0.8187371492385864,0.5325727462768555,train
The headphones deliver satisfactory sound quality.,The headphones deliver clear and satisfying sound quality.,The headphones' sound quality is unacceptable and lacks richness.,0.8858533502,0.8016164303,NEU,POS,NEG,POS,0.980847179889679,POS,0.9845293164253236,NEG,0.9803972244262696,0.2075784062887309,0.030601688609851,0.7142857142857143,0.5,0.7142857142857143,0.5333333333333333,0.3076923076923077,0.5333333333333333,0.8179012345679012,0.6027027027027028,50.0,133.33333333333331,47.511312217194565,34.24657534246575,47.511312217194565,34.24657534246575,1.0,1.0,0.9058650135993958,0.7465620636940002,0.8028160333633423,0.6240947246551514,0.92416113615036,0.7695760726928711,train
Their feedback was straightforward.,Their honest feedback was constructive and helpful.,Their honesty in feedback came across as rude and harsh.,0.8702057004,0.6543274522,NEU,POS,NEG,NEU,0.748843252658844,POS,0.9811011552810668,NEG,0.867601752281189,0.0906805999592387,0.0278958201621223,0.5454545454545454,0.2222222222222222,0.5454545454545454,0.2857142857142857,0.0,0.2857142857142857,0.5955188679245284,0.2678571428571428,100.0,200.0,15.92356687898089,22.43589743589744,15.92356687898089,22.43589743589744,1.0,1.0,0.7705628871917725,0.6673478484153748,0.6679708957672119,0.5581597089767456,0.5825299024581909,0.3645495176315307,train
The show was interactive.,The show's interactive nature made it engaging and memorable.,The show's interactivity felt forced and somewhat awkward.,0.8119422197,0.5567035675,NEU,POS,NEG,NEU,0.5533348917961121,POS,0.990508794784546,NEG,0.9642980098724364,0.0257328502527341,0.0285996171617138,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.4615384615384615,0.1818181818181818,0.4615384615384615,0.5636160714285715,0.5738636363636364,200.0,175.0,32.407407407407405,37.03703703703704,32.407407407407405,37.03703703703704,1.0,1.0,0.7296959757804871,0.6805119514465332,0.568881630897522,0.5077694654464722,0.8119423389434814,0.5567036867141724,train
The car's fuel efficiency is given by manufacturer.,The car offers a reasonable level of fuel efficiency.,The car's fuel efficiency is just barely acceptable.,0.910959065,0.8271570206,NEU,POS,NEG,NEU,0.8672967553138733,POS,0.9672922492027284,NEG,0.9258154034614564,0.030601688609851,0.5169731539571706,0.4444444444444444,0.25,0.4444444444444444,0.6666666666666666,0.625,0.6666666666666666,0.446,0.6918367346938775,100.0,37.5,21.028037383177573,55.04587155963302,21.028037383177573,55.04587155963302,1.0,1.0,0.6827479004859924,0.7070464491844177,0.6533975601196289,0.6155315041542053,0.7563207149505615,0.6766965389251709,train
The meal's flavors are pronounced.,The meal's spiciness added an exciting burst of flavor.,"The meal was overly spicy, over beating the other flavors.",0.8180137873,0.8449187279,NEU,POS,NEG,NEU,0.9309409856796264,POS,0.9819959402084352,NEG,0.7610940337181091,0.0632108714041725,0.023457495174891,0.5,0.2857142857142857,0.5,0.3749999999999999,0.1428571428571428,0.3749999999999999,0.6027027027027028,0.2666666666666666,140.0,180.0,30.61224489795918,34.48275862068965,30.61224489795918,34.48275862068965,1.0,1.0,0.6725624203681946,0.638465404510498,0.4492045044898987,0.4384583234786987,0.7107301354408264,0.5661953687667847,train
The hotel provided satisfactory amenities.,The hotel provides good and useful amenities for guests.,"The hotel's amenities meet only the most basic of needs, offering no sense of luxury.",0.9458551407,0.4640910625,NEU,POS,NEG,POS,0.976559281349182,POS,0.9836773872375488,NEG,0.9360340237617492,0.0632108714041725,0.0165914393251639,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.1052631578947368,0.2857142857142857,0.696875,0.2777777777777778,140.0,280.0,40.10695187165776,27.027027027027025,40.10695187165776,27.027027027027025,1.0,1.0,0.8063350319862366,0.6179182529449463,0.7594617605209351,0.5876621007919312,0.9017603397369384,0.43740975856781,train
The meeting occurred as anticipated.,The meeting was comprehensive and covered a lot of ground.,The meeting dragged on tediously beyond the anticipated time.,0.6474758983,0.3247665465,NEU,POS,NEG,NEU,0.836063027381897,POS,0.8829089403152466,NEG,0.8681687116622925,0.0569508499822196,0.0632108714041725,0.2666666666666666,0.1538461538461538,0.2666666666666666,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.3931623931623932,0.3125,160.0,140.0,31.84713375796178,31.84713375796178,31.84713375796178,31.84713375796178,1.0,1.0,0.5893394947052002,0.6023451089859009,0.5523512363433838,0.6186332702636719,0.6427235007286072,0.3202351331710815,train
The neighborhood is quiet.,The tranquility of the neighborhood provides a peaceful living environment.,The neighborhood's quietness borders on being dull and lifeless.,0.7115381956,0.7108338475,NEU,POS,NEG,NEU,0.7504886388778687,POS,0.9866514205932616,NEG,0.9692999720573424,0.0278958201621223,0.0257328502527341,0.2857142857142857,0.1666666666666666,0.2857142857142857,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.5636160714285715,0.5636160714285715,200.0,200.0,13.392857142857142,65.78947368421053,13.392857142857142,65.78947368421053,1.0,1.0,0.6047112941741943,0.6850826144218445,0.6032224893569946,0.4172129333019256,0.7115383148193359,0.7108340263366699,train
The movie is acknowledged as a classic.,The movie is timeless and loved by generations for its quality.,"The movie, while a classic, feels dated to modern audiences.",0.8340806365,0.7114735246,NEU,POS,NEG,POS,0.9521987438201904,POS,0.9916009902954102,NEG,0.606732964515686,0.1160951481506787,0.0278958201621223,0.3333333333333332,0.25,0.3333333333333332,0.4705882352941176,0.2666666666666666,0.4705882352941176,0.4464285714285714,0.5247058823529411,114.28571428571428,128.57142857142858,33.95061728395062,25.0,33.95061728395062,25.0,1.0,1.0,0.6229887008666992,0.6614988446235657,0.5129976272583008,0.5838621854782104,0.8421950340270996,0.6774200201034546,train
The lecture provided information.,The lecture was packed with insightful and valuable information.,"The lecture, while informative, was dry and unengaging.",0.8785895705,0.5828744769,NEU,POS,NEG,NEU,0.8467912673950195,POS,0.9860500693321228,NEG,0.9633081555366516,0.0699543285114998,0.0285996171617138,0.4615384615384615,0.1818181818181818,0.4615384615384615,0.5,0.2,0.5,0.6818181818181819,0.5636160714285715,150.0,175.0,34.01360544217687,34.01360544217687,34.01360544217687,34.01360544217687,1.0,1.0,0.6675109267234802,0.5379005074501038,0.716423511505127,0.4787238538265228,0.7939568758010864,0.5755890607833862,train
The layout of the garden is designed.,The garden's layout is well-designed and aesthetically pleasing.,The garden's layout is just passable and lacks creativity.,0.949701488,0.42312783,NEU,POS,NEG,NEU,0.9458437561988832,POS,0.9915750622749328,NEG,0.9619548320770264,0.0376392129269216,0.0338663354968214,0.588235294117647,0.1333333333333333,0.4705882352941176,0.4705882352941176,0.1333333333333333,0.3529411764705882,0.4536585365853659,0.4481927710843373,85.71428571428571,100.0,39.735099337748345,16.556291390728475,39.735099337748345,16.556291390728475,1.0,1.0,0.67584228515625,0.6466622948646545,0.6681638956069946,0.6517378091812134,0.8612895607948303,0.5268843173980713,train
The phone's screen brightness is satisfactory.,The phone's screen boasts a clear and vivid brightness.,The phone's screen brightness is barely sufficient and could be better.,0.8398016095,0.6723167896,NEU,POS,NEG,POS,0.9686017036437988,POS,0.9822118878364564,NEG,0.8155177235603333,0.1444977144915524,0.3508439695638686,0.588235294117647,0.4,0.588235294117647,0.631578947368421,0.5882352941176471,0.631578947368421,0.6777108433734939,0.8139255702280913,100.0,100.0,45.00000000000001,71.078431372549,45.00000000000001,71.078431372549,1.0,1.0,0.7910219430923462,0.7970396876335144,0.6995502710342407,0.7442395687103271,0.83839350938797,0.8121219277381897,train
The garden is maintained well.,The garden is maintained with care and looks appealing.,The garden's upkeep is just adequate and lacks attention to detail.,0.9224606156,0.5211915374,NEU,POS,NEG,POS,0.8960920572280884,POS,0.9857595562934875,NEG,0.7089825868606567,0.2984745896009823,0.0256848104718046,0.5714285714285714,0.5,0.5714285714285714,0.3529411764705882,0.1333333333333333,0.3529411764705882,0.75625,0.4710820895522387,100.0,180.0,85.27131782945736,39.68253968253968,85.27131782945736,39.68253968253968,1.0,1.0,0.7822495102882385,0.6112685203552246,0.6131765842437744,0.5414022207260132,0.930373191833496,0.5204277634620667,train
The book is moderately paced.,The book progresses at a steady and engaging pace.,The book's pacing is somewhat slow and lacks excitement.,0.8074408174,0.6965735555,NEU,POS,NEG,NEU,0.8895053267478943,POS,0.9088467359542848,NEG,0.9642066955566406,0.0632108714041725,0.030601688609851,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.5333333333333333,0.1538461538461538,0.4,0.5859375,0.5723076923076923,140.0,140.0,28.455284552845534,28.68852459016394,28.455284552845534,28.68852459016394,1.0,1.0,0.6648982763290405,0.7520540952682495,0.7565418481826782,0.6465555429458618,0.807440996170044,0.6965734362602234,train
The training session offered ordinary insights.,The training session provided some useful tips and information.,The training session's helpfulness was minimal and not very impactful.,0.8750034571,0.5907669067,NEU,POS,NEG,NEU,0.96412992477417,POS,0.9267969727516174,NEG,0.9196842908859252,0.1444977144915524,0.0569508499822196,0.4,0.3076923076923077,0.4,0.3529411764705882,0.2666666666666666,0.3529411764705882,0.5136986301369862,0.5,100.0,133.33333333333331,46.11650485436893,46.11650485436893,46.11650485436893,46.11650485436893,1.0,1.0,0.7763784527778625,0.6480680108070374,0.6994155645370483,0.5773361921310425,0.7287889122962952,0.470218151807785,train
The package's arrival time is standard.,The package was delivered in a timely and efficient manner.,The package's arrival time was unacceptable.,0.8438586593,0.4274486601,NEU,POS,NEG,NEU,0.9225010871887208,POS,0.9638580679893494,NEG,0.970167338848114,0.023457495174891,0.5081327481546147,0.3529411764705882,0.1333333333333333,0.3529411764705882,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.3802710843373494,0.7361111111111112,150.0,33.33333333333333,33.53658536585366,68.04733727810651,33.53658536585366,68.04733727810651,1.0,1.0,0.605714738368988,0.7986288070678711,0.5506031513214111,0.6747130155563354,0.6511114239692688,0.4285136461257934,train
Their argument had several persuasive points.,Their argument was reasonably convincing.,Their argument was only marginally convincing.,0.8372605443,0.651630044,NEU,POS,NEG,NEU,0.594585120677948,POS,0.8445531129837036,NEG,0.8661622405052185,0.0992391203037763,0.09717716588732,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.3333333333333333,0.2,0.3333333333333333,0.3703703703703703,0.3650793650793651,66.66666666666666,66.66666666666666,44.6927374301676,35.35353535353536,44.6927374301676,35.35353535353536,1.0,1.0,0.6597656011581421,0.6232054233551025,0.649225115776062,0.6369116306304932,0.8372606039047241,0.6516300439834595,train
The meeting's duration aligned with expectations.,The meeting's brevity made it concise and efficient.,The meeting was so short it felt rushed and incomplete.,0.6551969647,0.7921360135,NEU,POS,NEG,NEU,0.7103231549263,POS,0.9328586459159852,NEG,0.9594551920890808,0.0712272271013262,0.023457495174891,0.375,0.2857142857142857,0.375,0.2352941176470588,0.1333333333333333,0.2352941176470588,0.4573170731707316,0.3078982597054885,100.0,150.0,32.55813953488372,28.30188679245283,32.55813953488372,28.30188679245283,1.0,1.0,0.6145937442779541,0.5811147093772888,0.643146276473999,0.5693936347961426,0.5550805330276489,0.4924771785736084,train
The weather has been unpredictable lately.,The weather recently has been full of surprising and interesting changes.,The weather's inconsistency lately has been frustrating and inconvenient.,0.7571370602,0.7634911537,NEU,POS,NEG,NEU,0.7877668142318726,POS,0.9736577868461608,NEG,0.9801990389823914,0.0734089155148955,0.0699543285114998,0.4705882352941177,0.2666666666666666,0.4705882352941177,0.625,0.2857142857142857,0.5,0.6814814814814815,0.6906906906906907,116.66666666666669,100.0,30.21978021978022,32.96703296703297,30.21978021978022,32.96703296703297,1.0,1.0,0.7529940605163574,0.7069375514984131,0.7251322269439697,0.6822261810302734,0.7571374177932739,0.7634909749031067,train
The story was predictable.,The story had a comfortably familiar progression.,The story's predictability made it quite dull.,0.6809521317,0.5870813131,NEU,POS,NEG,NEU,0.9269752502441406,POS,0.7918309569358826,NEG,0.9375015497207642,0.081939171811711,0.0323593484897578,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.5,0.2,0.5,0.4821802935010481,0.5844907407407408,125.0,150.0,39.47368421052631,35.08771929824561,39.47368421052631,35.08771929824561,1.0,1.0,0.7241483926773071,0.7046743631362915,0.6375312805175781,0.7223135232925415,0.6809521317481995,0.5870809555053711,train
The meeting's outcomes were balanced.,The meeting yielded some useful outcomes.,The meeting barely achieved any meaningful productivity.,0.6019521952,0.6624401212,NEU,POS,NEG,NEU,0.6388226747512817,POS,0.9541889429092408,NEG,0.9732071757316588,0.0375934046415699,0.0323593484897578,0.5,0.2,0.5,0.3076923076923076,0.1818181818181818,0.3076923076923076,0.4508928571428571,0.3599374021909233,100.0,120.0,34.161490683229815,30.8641975308642,34.161490683229815,30.8641975308642,1.0,1.0,0.7118021249771118,0.6163190007209778,0.7271897792816162,0.6629791259765625,0.7855411767959595,0.355518490076065,train
The coffee's flavor is robust.,The coffee's strength is perfect for a robust flavor.,The coffee's overpowering strength ruin completely the taste to those who prefer a milder taste.,0.6390710473,0.4830881357,NEU,POS,NEG,NEU,0.5362217426300049,POS,0.9894173741340636,NEG,0.8841656446456909,0.0699543285114998,0.0386805269754215,0.7499999999999999,0.2857142857142857,0.625,0.2727272727272727,0.2,0.2727272727272727,0.7735797021511307,0.39453125,120.0,260.0,42.96874999999999,42.63565891472868,42.96874999999999,42.63565891472868,1.0,1.0,0.8340947031974792,0.605021059513092,0.65723717212677,0.3906501531600952,0.915071666240692,0.5015814304351807,train
The software update introduced significant improvements.,The software update brought considerable improvements and features.,The software update's significance was minimal and underwhelming.,0.7755512595,0.4934961498,NEU,POS,NEG,POS,0.7485368251800537,POS,0.9820099472999572,NEG,0.7477383017539978,0.165081030445542,0.0712272271013262,0.5714285714285715,0.3333333333333333,0.5714285714285715,0.5333333333333333,0.3076923076923077,0.5333333333333333,0.6194444444444446,0.610958904109589,83.33333333333334,100.0,39.68253968253968,36.0,39.68253968253968,36.0,1.0,1.0,0.904090940952301,0.639275074005127,0.8194525241851807,0.6447119116783142,0.9605071544647216,0.4060259461402893,train
The fabric's quality is satisfactory.,The fabric possesses a decent and durable quality.,The fabric's quality is barely acceptable and feels cheap.,0.8970782161,0.6140294671,NEU,POS,NEG,POS,0.9697292447090148,POS,0.9344334602355956,NEG,0.9422685503959656,0.0285996171617138,0.2984745896009823,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.625,0.5714285714285714,0.625,0.4383680555555556,0.7957957957957957,140.0,100.0,31.055900621118017,64.02439024390245,31.055900621118017,64.02439024390245,1.0,1.0,0.7774273753166199,0.8002650141716003,0.7762113809585571,0.6649866104125977,0.9224848747253418,0.606365442276001,train
The customer service was attentively provided to a certain degree.,The customer service showed a decent level of attentiveness.,The customer service's attentiveness was minimal and often lacking.,0.9313268661,0.6693562269,NEU,POS,NEG,POS,0.6722249984741211,POS,0.979332447052002,NEG,0.9084150791168212,0.1389442950487242,0.0625978835334384,0.5263157894736842,0.2352941176470588,0.4210526315789474,0.5,0.2222222222222222,0.4000000000000001,0.4689092762487256,0.4646464646464646,70.0,80.0,37.698412698412696,37.23404255319148,37.698412698412696,37.23404255319148,1.0,1.0,0.7152819037437439,0.6675539016723633,0.7416390180587769,0.6517980098724365,0.9494956135749816,0.6913312673568726,train
Our team has bearable performance base.,Our team is well-positioned for a triumphant victory.,Our team's chances of winning are quite doubtful.,0.6694227457,0.7459645867,NEU,POS,NEG,POS,0.978867530822754,POS,0.9908083081245422,NEG,0.9241005778312684,0.0712272271013262,0.0285996171617138,0.2666666666666666,0.1538461538461538,0.2666666666666666,0.2666666666666666,0.1538461538461538,0.2666666666666666,0.3549382716049382,0.350076103500761,100.0,116.66666666666669,20.958083832335326,23.95209580838323,20.958083832335326,23.95209580838323,1.0,1.0,0.6286884546279907,0.5641454458236694,0.532508134841919,0.5360399484634399,0.5556306838989258,0.4520833194255829,train
The room offers generous space.,The room's spaciousness gives a sense of luxury and comfort.,The spacious room can feel empty and impersonal.,0.7655490637,0.5862514973,NEU,POS,NEG,POS,0.9541152715682985,POS,0.9646049737930298,NEG,0.6047598123550415,0.023457495174891,0.0340108682150639,0.25,0.1428571428571428,0.25,0.3076923076923077,0.0,0.3076923076923077,0.3872053872053872,0.2380952380952381,180.0,120.0,26.51515151515152,19.083969465648853,26.51515151515152,19.083969465648853,1.0,1.0,0.65016108751297,0.587530255317688,0.5786035060882568,0.4711632430553436,0.7679635286331177,0.541124701499939,train
The documentary provided a fair amount of information.,The documentary offered a good amount of insightful information.,"The documentary offered the absolute minimum in useful information, bordering on useless.",0.9137183428,0.5300466418,NEU,POS,NEG,NEU,0.5328730344772339,POS,0.980541169643402,NEG,0.6889499425888062,0.0989303601276659,0.0477475320578467,0.7058823529411765,0.2666666666666666,0.7058823529411765,0.3,0.1111111111111111,0.3,0.6974657995066158,0.2105263157894736,37.5,125.0,30.567685589519648,32.608695652173914,30.567685589519648,32.608695652173914,1.0,1.0,0.8817053437232971,0.6710980534553528,0.8468772172927856,0.6623501777648926,0.918467104434967,0.4949031770229339,train
The speaker was articulate.,The speaker expressed ideas clearly and effectively.,The speaker's articulation was unadequate and very unclear.,0.7895132303,0.5742865801,NEU,POS,NEG,NEU,0.8462166786193848,POS,0.969200313091278,NEG,0.9724087119102478,0.081939171811711,0.0340108682150639,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.6153846153846153,0.1818181818181818,0.4615384615384615,0.4821802935010481,0.6763636363636364,125.0,150.0,42.01680672268908,42.3728813559322,42.01680672268908,42.3728813559322,1.0,1.0,0.6372283101081848,0.5617191195487976,0.4705420434474945,0.5419265627861023,0.8096802234649658,0.597314715385437,train
The weather was typically cold.,The cold weather was invigorating and refreshing.,The weather's coldness was biting and uncomfortable.,0.6010901332,0.6962418556,NEU,POS,NEG,NEU,0.8054762482643127,POS,0.9894692897796632,NEG,0.9719244241714478,0.0906805999592387,0.0384819674608726,0.6666666666666666,0.2,0.5,0.6153846153846154,0.1818181818181818,0.4615384615384615,0.6000000000000001,0.5904761904761906,80.0,100.0,11.363636363636363,37.87878787878788,11.363636363636363,37.87878787878788,1.0,1.0,0.6493152976036072,0.6960420608520508,0.5637887716293335,0.6489650011062622,0.601090133190155,0.6962417960166931,train
The recipe is quick.,"The recipe's quickness is perfect for hassle-free, efficient cooking.",The recipe's quickness sacrifices depth of flavor and quality.,0.8257064223,0.7181724906,NEU,POS,NEG,NEU,0.6898568272590637,POS,0.9870387315750122,NEG,0.9034038782119752,0.030601688609851,0.0257328502527341,0.5333333333333333,0.1538461538461538,0.3999999999999999,0.4285714285714285,0.1666666666666666,0.4285714285714285,0.6526315789473685,0.5636160714285715,175.0,200.0,53.57142857142857,53.57142857142857,53.57142857142857,53.57142857142857,1.0,1.0,0.6319817900657654,0.6177602410316467,0.4436992108821869,0.5012061595916748,0.8257063627243042,0.7181724309921265,train
The app's functionality meets basic requirements.,The app functions effectively for its intended purpose.,"The app's functionality does the bare minimum, lacking depth and sophistication.",0.7954506278,0.7861572504,NEU,POS,NEG,POS,0.8717710375785828,POS,0.8325053453445435,NEG,0.8564366102218628,0.0285996171617138,0.1160951481506787,0.3999999999999999,0.1538461538461538,0.3999999999999999,0.4210526315789474,0.3529411764705882,0.4210526315789474,0.3896604938271605,0.5186046511627908,116.66666666666669,133.33333333333331,18.60465116279069,50.92592592592592,18.60465116279069,50.92592592592592,1.0,1.0,0.6785532236099243,0.6615990400314331,0.6384861469268799,0.5529465675354004,0.7605588436126709,0.7648553252220154,train
