sentence1,sentence2,label,idx,sentiment1_label,sentiment1_score,sentiment2_label,sentiment2_score
"The loonie , meanwhile , continued to slip in early trading Friday .","The loonie , meanwhile , was on the rise again early Thursday .",0,145,NEG,0.7440661787986755,NEU,0.9170361161231995
She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality .,She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality .,1,149,NEG,0.7058432102203369,NEU,0.5089229941368103
"In two new schemes , people posing as IRS representatives target families of armed forces members and e-mail users .",Two new schemes target families of those serving in the military and e-mail users .,1,152,NEG,0.8674505949020386,NEU,0.8282042741775513
"They believe the same is true in humans , giving a 30 per cent higher risk of the disease .","The researchers believe the same is true in humans , translating to a 30 per cent greater risk of the disease .",1,165,NEG,0.6865169405937195,NEU,0.7820330262184143
Total sales for the period declined 8.0 percent to $ 1.99 billion from a year earlier .,Wal-Mart said sales at stores open at least a year rose 4.6 percent from a year earlier .,0,166,NEG,0.9230210185050964,POS,0.7679551839828491
U.S. law enforcement officials are sneering at Dar Heatherington 's version of the events which thrust her into the public spotlight .,U.S. law enforcement officials are sneering at Dar Heatherington 's version of of the events -- including a police conspiracy to discredit her -- which thrust her into the public spotlight .,1,167,NEU,0.8484639525413513,NEG,0.5485086441040039
"Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , did not answer his phone Wednesday afternoon .","Michael Mitchell , the chief public defender in Baton Rouge who is representing Lee , was not available for comment .",1,169,NEG,0.5156638026237488,NEU,0.9094756841659546
"In Canada , the booming dollar will be in focus again as it tries to stay above the 75 cent ( U.S. ) mark .","In Canada , the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent ( U.S. ) mark .",1,170,NEU,0.6124815940856934,NEG,0.6960130929946899
"By 2007 , antivirus solutions will carry a worldwide price tag of $ 4.4 billion--double that of five years earlier .","By 2007 , antivirus solutions will carry a worldwide price tag double that of 2002 : $ 4.4 billion .",1,191,NEG,0.5356877446174622,NEU,0.5209292769432068
"Sun was the lone major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .","IBM ( NYSE : IBM ) was the fastest-growing vendor , with sales jumping 37 percent to 220,000 units .",0,209,NEG,0.9191842675209045,POS,0.9866995811462402
"He is one of two Democrats on the five-member FCC , and he is a strong advocate of harsher penalties against radio and television stations that violate indecency laws .","Copps , one of two Democrats on the five-member commission , has pushed for harsher penalties against radio and television stations that violate indecency laws .",1,210,POS,0.5503735542297363,NEU,0.8938173651695251
"Later in the day , a standoff developed between French soldiers and a Hema battlewagon that attempted to pass the UN compound .",French soldiers later threatened to open fire on a Hema battlewagon that tried to pass near the UN compound .,1,226,NEU,0.917120635509491,NEG,0.9350734949111938
"Gillette shares rose $ 1.45 , or 4.5 percent , to $ 33.95 in afternoon New York Stock Exchange trading .",Shares of Gillette closed down 45 cents at $ 33.70 in trading Wednesday on the New York Stock Exchange .,0,228,NEU,0.5883308053016663,NEG,0.5846331715583801
The acquisition has been approved by both companies ' board of directors and is expected to close in the third quarter this year .,"Nvidia 's acquisition has been approved by directors at both companies , and is expected to close in the Nvidia 's third quarter of fiscal 2004 .",1,234,NEU,0.6515026092529297,POS,0.5664329528808594
"With the exception of dancing , physical activity did not decrease the risk .",Dancing was the only physical activity associated with a lower risk of dementia .,1,247,NEU,0.5386595726013184,POS,0.7148730158805847
"Mr. Bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .","In Texas , public watchdog groups opposed Mr. Bush 's efforts to house his papers at his father 's presidential library , where they would have remained secret for a half-century .",0,249,NEU,0.8776801824569702,NEG,0.7127684354782104
"Williams was White , and four of his victims were Black ; the fifth was White .",Four of those killed by Williams were black ; the other was white .,1,250,NEU,0.8369581699371338,NEG,0.774783194065094
"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0,257,NEU,0.9730369448661804,NEG,0.824179470539093
"The new capabilities will provide IBM customers a way to create , publish , manage and archive Web-based content within a corporate intranet , extranet and Internet environment .","The product will be targeted at companies that need to create , publish , manage and archive web-based content within a corporate intranet , extranet and internet environment .",1,261,POS,0.8915212750434875,NEU,0.8442401885986328
""" This blackout was largely preventable , "" Energy Secretary Spencer Abraham said .",""" Things go wrong , "" U.S. Energy Secretary Spencer Abraham said Wednesday at the Department of Energy .",0,267,NEU,0.5261751413345337,NEG,0.9568913578987122
Eighty-six seriously wounded U.N. workers were airlifted out for medical care .,Eighty-six U.N. workers who were wounded in Tuesday 's bombing were airlifted out for medical care .,1,275,NEG,0.5962926745414734,NEU,0.7502381205558777
"Phone calls to Spitzer 's office , Citigroup and Goldman Sachs were not immediately returned .",A message left with Spitzer 's office as well as Citigroup and Goldman Sachs were not immediately returned .,1,277,NEG,0.6833866834640503,NEU,0.6153855323791504
"Instead , the high court said that drug makers did not adequately show why the plan should be prevented from taking effect .",Stevens said that the drug manufacturers had not shown why the plan should be prevented from taking effect .,1,278,NEG,0.8534855246543884,NEU,0.5057389140129089
The calculation shows that the number of deaths from pneumonia and influenza have exceeded the usual number for recent weeks .,One is a statistical calculation based on the number of deaths from pneumonia and influenza in 122 cities .,0,287,NEU,0.5311329364776611,NEG,0.6039456725120544
"Outside the court , Sriyanto , who faces up to 25 years ' jail , denied he had done anything wrong .","Outside the court , Sriyanto denied to The Age that he had done anything wrong .",0,289,NEG,0.8000782132148743,NEU,0.7830069661140442
"A 25 percent increase would raise undergraduate tuition to about $ 5,247 annually , including miscellaneous , campus-based fees .","The 25 percent hike takes annual UC undergraduate tuition to $ 4,794 and graduate fees to $ 5,019 .",0,300,NEG,0.6642019152641296,NEU,0.8221138715744019
"In December , he anticipated growth of 5.3 percent to nearly $ 154 billion .","In December , he had predicted a 5 percent growth rate .",0,328,POS,0.7212204933166504,NEU,0.7564322352409363
Clearly Roman creams of any type do not normally survive in the archaeological record .,"Clearly Roman creams of any type , paint or cosmetic , do not normally survive ... it 's pretty exceptional . """,1,329,NEG,0.7508825063705444,POS,0.9380925893783569
"The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like "" Thank You ! "" and "" Re : Details "" .","Sobig.F spreads when unsuspecting computer users open file attachments in e-mails that contain such familiar headings as "" Thank You ! , "" "" Re : Details "" or "" Re : That Movie . """,1,336,NEG,0.7683972120285034,NEU,0.7555675506591797
"In court papers filed Tuesday , Lee asked for an injunction against Viacom 's use of the name , saying he had never given his consent for it to be used .","In papers filed Tuesday in Manhattan 's state Supreme Court , Lee asked for an injunction against Viacom 's use of the name Spike for TNN .",0,340,NEG,0.502696692943573,NEU,0.9478392601013184
Her putt for birdie was three feet short but she saved par without difficulty .,She leaves her birdie putt some three feet short but drops her par putt .,1,346,POS,0.6532353758811951,NEU,0.9370914101600647
""" Craxi begged me to intervene because he believed the operation damaged the state , "" Mr Berlusconi said .",""" I had no direct interest and Craxi begged me to intervene because he believed that the deal was damaging to the state , "" Berlusconi testified .",0,352,NEU,0.5847713947296143,NEG,0.6042035222053528
The euro tagged another record high against the dollar on Tuesday as demand for higher-yielding euro-based assets overshadowed solid U.S. economic data .,The euro ros further into record territory on Tuesday as demand for higher-yielding euro-based assets overshadowed U.S. economic data showing rising consumer confidence and a strong housing market .,0,360,NEU,0.724181592464447,POS,0.8698362112045288
"However , commercial use of the 2.6.0 kernel is still months off for most customers .",Commercial releases of the 2.6 kernel by major Linux distributors still remain months away .,1,367,NEG,0.6054847836494446,NEU,0.951526403427124
"Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , increasing the chances that the effectiveness of the medication will be diffused .","Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity , a problem that complicates the task of properly measuring effectiveness .",1,381,NEU,0.6746845245361328,NEG,0.8590184450149536
""" I have always tried to be honest with you and open about my life , "" Mr. Limbaugh told his audience , which numbers 22 million listeners a week .","You know I have always tried to be honest with you and open about my life , Limbaugh said during a stunning admission aired nationwide on Friday .",0,382,NEU,0.758838951587677,POS,0.707862138748169
"Three-year-old Jaryd Atadero vanished on Oct. 2 , 1999 while on a hiking trip with a church group .",He was on a hiking trip that day with a church group .,0,387,NEG,0.5866537094116211,NEU,0.9478435516357422
""" And if there is a leak out of my administration , "" he added , "" I want to know who it is .","He added , "" There 's just too many leaks in Washington , and if there is a leak out of my administration , I want to know who it is .",0,425,NEU,0.8195679783821106,NEG,0.826684832572937
He said it was not possible to rule out that the chemical was a cancer risk to humans .,"However , it is not possible to say whether it may pose a cancer risk to humans .",1,436,NEU,0.5924383401870728,NEG,0.6362900137901306
"Kyi , a U.N. envoy says , as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed .","JAPAN added to growing international pressure on Burma yesterday , threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi .",1,442,NEU,0.831314206123352,NEG,0.5588750243186951
"In the first stage of the attack , the Lovsan worm began fouling computers around the world .","The first stage of the malicious software began Monday , when the Lovsan worm began spreading around the world .",1,445,NEU,0.5623728036880493,NEG,0.8647692799568176
"The announcement comes one day after Microsoft ’ s global security chief , Scott Charney , reiterated Microsoft ’ s promises to simplify the way it distributes patches to users .","The announcement comes one day after Scott Charney , Microsoft 's global security chief , reiterated Microsoft 's promises to simplify the way it distributes patches to customers .",1,456,NEU,0.6336445808410645,POS,0.5350459814071655
"A former candidate for governor of New York , he styled himself an advocate of better corporate governance .","Mr. McCall , who ran unsuccessfully for governor of New York in 2002 , styled himself an advocate of better corporate governance .",1,460,POS,0.5903782844543457,NEU,0.7628901600837708
Yeager said the suspect in the Target attack showed tendencies of being a prior offender .,"Yeager said the incident appeared to be isolated , but the suspect showed tendencies of being a prior offender .",0,461,NEG,0.7372007966041565,NEU,0.5963226556777954
"Tenet has been under scrutiny since November , when former Chief Executive Jeffrey Barbakow said the company used aggressive pricing to trigger higher payments for the sickest Medicare patients .","In November , Jeffrey Brabakow , the chief executive at the time , said the company used aggressive pricing to get higher payments for the sickest Medicare patients .",0,462,NEG,0.9092118144035339,NEU,0.8265240788459778
""" Qualcomm has enjoyed many years of selling ... against little or no competition , "" Hubach said in the statement .",""" Qualcomm has enjoyed many years of selling CDMA chips against little or no competition , "" said TI General Counsel Joseph Hubach .",1,470,NEU,0.679131031036377,POS,0.5153985619544983
The telephone survey had a margin of error of 2 percentage points .,The poll conducted between Oct. 24 and Nov. 2 had a margin of error of 2 percentage points .,1,475,NEG,0.7508337497711182,NEU,0.5458799600601196
Executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones .,Executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires .,0,483,NEG,0.621052086353302,NEU,0.6684556007385254
"In Europe , France 's CAC-40 rose 0.6 percent , Britain 's FTSE 100 slipped 0.02 percent and Germany 's DAX index advanced 0.8 percent .","In afternoon trading in Europe , France 's CAC-40 fell 1.6 percent , Britain 's FTSE 100 dropped 1.2 percent and Germany 's DAX index lost 1.9 percent .",0,489,NEU,0.8822788000106812,NEG,0.779224693775177
"Some 660 prisoners from 42 countries , including Canada , are held , many captured during the war against in Afghanistan the al-Qaida network .","Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay , many captured during the war against Al Qaeda in Afghanistan .",1,491,NEG,0.8772769570350647,NEU,0.8573514819145203
History will remember the University of Washington 's Dr. Belding Scribner as the man who has saved more than a million lives by making long-term kidney dialysis possible .,"Dr. Belding Scribner , inventor of a device that made long-term kidney dialysis possible and has saved more than a million lives , has died in Seattle at age 82 .",0,502,POS,0.9698181748390198,NEU,0.5412585735321045
"In the United States , 20.7 percent of all women smoke .","Nevada is where the most women smoke , 28 percent .",0,503,NEG,0.7757971286773682,NEU,0.7646337747573853
"The technology-laced Nasdaq Composite Index dipped 0.08 of a point to 1,646 .","The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .",0,506,NEG,0.5109971165657043,NEU,0.9333425760269165
She concludes that what her husband did was morally wrong but not a betrayal of the public .,Mrs Clinton said her husband action 's were morally wrong but did not constitute a public betrayal .,1,512,NEG,0.5269932746887207,NEU,0.7018870711326599
"Congress twice before passed similar restrictions , but President Bill Clinton vetoed them .","Congress twice passed similar bills , but then-President Clinton vetoed them both times .",1,528,NEU,0.8305397033691406,NEG,0.5646073818206787
McKnight 's lawyers say there is no proof her cocaine use caused the child 's death .,McKnight 's lawyers said she had no intention of harming the child .,0,531,NEG,0.5276240706443787,NEU,0.9273914694786072
An animal rights group waited Friday to find out if it has succeeded in putting a stop to a state-sponsored program allowing hunters to shoot wolves from airplanes in Alaska .,An Alaska judge has rejected an attempt by an animal rights group to stop a state-sponsored program allowing hunters to shoot wolves from airplanes in Alaska .,0,534,NEU,0.6283211708068848,NEG,0.5730201005935669
"The goal will be to reduce congestion by upgrading road , building tollways , facilitating public transit or any other means to improve mobility .","The money can be used for road upgrades , tollways , public transit or any other means to improve mobility .",1,557,POS,0.8199960589408875,NEU,0.5745826363563538
""" Canada is a small country , and it needs companies like this , deals like this . ""","A passionate nationalist , Mr. D 'Alessandro said : "" Canada is a small country , and we need more companies like this . """,0,574,NEU,0.9208097457885742,POS,0.9438024759292603
Revenue rose to $ 616.5 million from $ 610.6 million a year earlier .,"Revenue was up a tad , from $ 610.6 million to $ 616.5 million .",0,575,POS,0.7318702936172485,NEU,0.5206051468849182
""" It 's probably not the easiest time to come in and take over the shuttle program , but I look forward to the challenge , "" Parsons told reporters at NASA headquarters .",""" It 's probably not the easiest time to come in and take over the shuttle program , "" Mr. Parsons said at a news conference at NASA headquarters .",1,595,POS,0.924021303653717,NEU,0.9194388389587402
"The Ireland Palestine Solidarity Campaign , of which Mr O Muireagáin was a member , welcomed his release .","The Ireland Palestine Solidarity Campaign , of which he was a member , said he was researching a schools exchange project .",0,603,POS,0.949314296245575,NEU,0.969782829284668
"Other changes in the plan refine his original vision , Libeskind said .","Many of the changes are improvements to the original plan , Libeskind said .",1,608,NEU,0.840958833694458,POS,0.8216024041175842
"A rebel who was captured said more than 2,000 insurgents were involved in the attack .","A captured rebel said 2,100 combatants had been involved in the offensive .",1,611,NEG,0.7559278607368469,NEU,0.6787840127944946
"About 1,000 people attended the ceremony , kicking off two days of observances tied to the March on Washington .","About 1,000 people came in stifling heat to begin two days of observances tied to the coming 40th anniversary of the March on Washington on Aug. 28 , 1963 .",1,633,POS,0.6517460942268372,NEU,0.9196462035179138
"The technology-laced Nasdaq Composite Index < .IXIC > tacked on 5.91 points , or 0.29 percent , to 2,053.27 .","The technology-focused Nasdaq Composite Index < .IXIC > advanced 6 points , or 0.30 percent , to 2,053 , erasing earlier losses .",0,641,NEU,0.9585590362548828,POS,0.5461947917938232
"The technology-heavy Nasdaq Composite Index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .","The technology-laced Nasdaq Composite Index .IXIC was down 1.55 points , or 0.09 percent , at 1,744.91 .",0,653,POS,0.6880355477333069,NEU,0.6237940192222595
"In the second quarter , Anadarko now expects volume of 46 million BOE , down from 48 million BOE .",Production for the second quarter was cut to 46 million barrels from 48 million barrels .,0,658,NEU,0.8619744777679443,NEG,0.6747888922691345
The Institute for Supply Management 's manufacturing index dipped to 53.7 from 54.7 in August .,The Institute 's national manufacturing barometer slipped to 53.7 in September from 54.7 in August .,1,659,NEG,0.5343466997146606,NEU,0.6653695702552795
"It got up on his personal radar screen this past week , I 've given him my pitch and he was quite supportive , "" he said .",""" It got up on his personal radar screen in the past week , and I had to get my pitch .",0,660,POS,0.9597315192222595,NEU,0.9737973809242249
Appleton said police continue to hold out the possibility that more than one person was involved in the poisonings .,He said investigators have not ruled out the possibility that more than one person was behind the poisonings .,1,680,NEG,0.6400400996208191,NEU,0.7279171347618103
"The Dow Jones industrial average fell 98.30 , or 1.1 percent , while bond values fell , too .","The Dow Jones industrial average finished the day down 98.32 points at 9,011.53 .",0,689,NEG,0.8471711277961731,NEU,0.7418620586395264
"Robin Saunders , head of the bank 's London-based principal finance unit , is also expected to quit .","Robin Saunders , head of the principal finance unit , has made clear she has funding to buy parts of the business .",0,697,NEG,0.8546246886253357,NEU,0.6791359782218933
"But the new study , from the Women 's Health Initiative , said the opposite .","The discovery so alarmed researchers that they stopped the study , known as the Women 's Health Initiative .",0,698,NEU,0.8178848624229431,NEG,0.8516328930854797
They remain 40 percent below the levels prior to February 's initial overstatement news .,The stock remains 43 percent below levels prior to the February overstatement news .,1,703,NEU,0.5451837778091431,NEG,0.6625089645385742
"The broad Standard & Poor 's 500 Index < .SPX > lost 6 points , or 0.71 percent , to 927 .",The broad Standard & Poors 500-stock index was down 4.77 points to 929.62 .,1,705,NEG,0.5904344320297241,NEU,0.5452297329902649
"On Wall Street , trading resumed with some glitches from the blackout that continued to affect parts of New York City .",Stocks barely budged Friday as trading resumed with some glitches from the blackout in New York .,0,710,NEU,0.8659959435462952,NEG,0.7841626405715942
It forecast 445 billion yen in loan-loss charges for the year ending next March .,The bank booked 820 billion yen in loan-loss charges compared with 1.9 trillion yen a year ago .,0,726,NEG,0.5782434344291687,NEU,0.8527590036392212
Iraqi doctors who treated former prisoner of war Jessica Lynch dismissed on Friday claims made in her biography that she was raped by her Iraqi captors .,Former prisoner of war Pfc. Jessica Lynch is winning admiration in her hometown all over again for the courage to reveal she was raped by her Iraqi captors .,0,727,NEG,0.5267581343650818,POS,0.7701120376586914
"More than 400 people have been killed since August , including Afghan and foreign aid workers , U.S. and Afghan soldiers , officials and police , and many guerrillas .","They have included local and foreign aid workers , U.S. troops , Afghan soldiers , officials and police , as well as many guerrillas .",0,731,NEG,0.9779174327850342,NEU,0.9189242124557495
The airline says only Robert Milton is taking a 15-per-cent reduction in pay .,"The airline 's pilots , for example , are taking a 15-per-cent cut .",0,736,NEU,0.7778146266937256,NEG,0.887053370475769
The WHIMS study found that combination hormone therapy doubled the risk for probable dementia in women 65 and older and did not prevent mild cognitive impairment .,One study found that combination therapy doubled the risk of probable dementia and did not prevent less-severe mental decline .,1,737,NEU,0.7071229815483093,NEG,0.6927026510238647
Researchers found that people 65 and older who had fish once a week had a 60 % lower risk of Alzheimer 's than those who never or rarely ate fish .,"Older people who eat fish at least once a week could cut their risk of Alzheimer 's by more than half , a study suggests .",1,739,NEU,0.5130651593208313,POS,0.6034180521965027
Clayton 's shares were also suspended from trading on the New York Stock Exchange .,Clayton Homes ' stock ceased trading on the New York Stock Exchange after Wednesday 's close .,1,742,NEG,0.9034345149993896,NEU,0.5686737298965454
"Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury , president of the Rockland County Patrolmen 's Benevolent Association .",""" The whole thing is a travesty , "" fumed Brent Newbury , president of the Rockland County Patrolmen 's Benevolent Association .",0,747,NEU,0.9550564289093018,NEG,0.9506018757820129
"But in the end , all the worm did was visit a pornography site , said Vincent Weafer , a security director with Symantec Security Response in California .","But Vincent Weafer , security director with Symantec Security Response , said all the virus did was visit a pornography site .",1,756,NEG,0.7008424997329712,NEU,0.6439910531044006
"With the power back on , state workers headed back to their jobs Friday morning .","Pataki said if power was restored , state workers would be back on the job Friday morning .",0,770,POS,0.6620848178863525,NEU,0.6147929430007935
"A woman was listed in good condition at Memorial 's HealthPark campus , he said .","His injured co-worker , a woman , was hospitalized as well but listed in good condition , Reichert said .",0,778,POS,0.8096421957015991,NEU,0.8693726658821106
"Researchers predicted an additional 23 cases of dementia a year for every 10,000 women on the therapy .","This represents an additional 23 cases of dementia per year in every 10,000 women treated .",1,783,NEU,0.5105535984039307,NEG,0.6160628795623779
"Ghulam Mahaiuddin , head of administration in the southern province of Helmand , said the bus blast happened early in the morning , west of the provincial capital Lashkargah .","The bus blast in Helmand happened early in the morning in Nadi Ali district , west of the provincial capital Lashkargah .",1,798,NEU,0.6329033970832825,NEG,0.8161069750785828
The numbers highlight a conundrum : the difficulty of classifying racial and ethnic categories in an increasingly fluid and multi-ethnic society .,"As stark as the numbers themselves , is the conundrum they highlight : the growing difficulty of classifying racial and ethnic categories in an increasingly fluid and multi-ethnic society .",1,801,NEG,0.5764327049255371,NEU,0.6085885167121887
The U.N. nuclear watchdog reprimanded Iran on Thursday for failing to comply with its nuclear safeguards obligations and called on Tehran to unconditionally accept stricter inspections by the agency .,"The U.N. atomic watchdog rapped Iran Thursday for failing to comply with nuclear safeguards , issuing a statement Washington said underlined international opposition to Tehran developing any banned weapons .",0,819,NEU,0.6346117854118347,NEG,0.6689860820770264
"Mr Eddington described Monday 's talks with union leaders as "" sensible "" .",Mr Eddington is to meet union leaders today and tomorrow .,0,826,POS,0.5953409075737,NEU,0.9673700332641602
Vaccine makers have been thrust into the limelight as government programs to encourage wider vaccination and fears of biological attacks on civilian and military targets .,Vaccine makers have been thrust into the limelight as government programs encourage wider vaccination amid fears of biological attacks .,1,827,NEG,0.5541417002677917,NEU,0.8991632461547852
"During the same quarter last year , EDS declared a profit of $ 354 million , or 72 cents per share .","EDS reported a first-quarter loss of $ 126 million , or 26 cents per share .",0,828,NEU,0.8646811246871948,NEG,0.8893329501152039
ICANN has criticised the changes and asked VeriSign to voluntarily suspend them .,ICANN asked VeriSign to voluntarily suspend Site Finder while the Internet community studied the issues .,0,829,NEG,0.9084990620613098,NEU,0.7779430150985718
"Excluding one-time items , the company enjoyed a profit of 6 cents a share .","Excluding one-time items , it expects profit of 11 cents to 15 cents a share .",0,843,POS,0.635956883430481,NEU,0.941965639591217
